imagen,tecnica,ambe,psnr,contraste,entropia
38092.jpg,CLAHE,0.0761588331681935,20.615257277671574,65.97668371330742,7.8763523
41033.jpg,CLAHE,16.792792792792795,18.583597188222807,57.83493425060261,7.7664213
42049.jpg,CLAHE,3.8591718965550967,25.52771930356936,53.46638961020241,6.7120843
43074.jpg,CLAHE,26.742572910797207,17.768562379312687,42.837940559039,7.416241
45096.jpg,CLAHE,14.795733188256555,21.55098520936953,46.01176915691772,6.5194964
54082.jpg,CLAHE,18.404388572612877,18.920645664613623,45.501817353058,7.478224
58060.jpg,CLAHE,26.250374026074965,17.16012928786531,65.80830391904017,7.4789352
62096.jpg,CLAHE,6.913465586362804,21.045838748087697,82.0935476213963,7.28033
69015.jpg,CLAHE,33.04411240859838,15.814114825623992,60.72642563014578,7.683304
69040.jpg,CLAHE,29.06805007739588,16.09512622755267,52.87026849548278,7.7102647
76053.jpg,CLAHE,11.649244499711784,19.485731723623264,49.83743420884606,7.624616
78004.jpg,CLAHE,9.168697093930732,18.056395263736437,65.38596251310591,7.9076967
8023.jpg,CLAHE,6.999268139455054,20.53152014428699,44.50723468655353,7.4911337
86000.jpg,CLAHE,10.13514161177713,20.97697676278182,54.02117037453446,7.584157
86016.jpg,CLAHE,16.06270684775359,18.032131435506905,57.42181706556658,7.81831
89072.jpg,CLAHE,7.892053807941664,21.57045099917959,63.71522478403675,7.7709103
101085.jpg,AGCWD,45.49752916108058,13.620890405923006,77.10748256847798,7.259991
103070.jpg,AGCWD,52.49795661945194,12.476562074587145,62.5037779023227,6.871632
108082.jpg,AGCWD,45.01509705248023,13.122196954358662,72.0093447013783,6.3622313
109053.jpg,AGCWD,50.377478125141664,12.898747988118116,58.928671501012026,6.792833
119082.jpg,AGCWD,38.21668901108154,15.259538999885104,88.5946376196193,7.2757626
12084.jpg,AGCWD,53.48712767404356,12.370661597564752,61.34157630416861,6.8450174
126007.jpg,AGCWD,53.12209765480792,12.254957773776448,63.81441593735841,6.6913
130026.jpg,AGCWD,42.00367225600871,14.175827180295428,75.21457672612472,7.0986776
14037.jpg,AGCWD,48.0701096495489,12.674466652035257,84.18483391360652,6.612397
147091.jpg,AGCWD,40.65960712689685,14.720335936535768,83.92743702459754,7.2861223
148089.jpg,AGCWD,42.81575896529168,14.265474481865803,80.89751908567114,7.3304586
156065.jpg,AGCWD,49.098930706407344,12.975359968768135,78.48006442138556,7.3042955
157055.jpg,AGCWD,30.23159824094404,17.731294398522664,67.29942486712868,7.1408405
16077.jpg,AGCWD,39.7330781536389,14.84921536740151,71.36826705271518,7.126957
163085.jpg,AGCWD,58.512762223042586,11.55699566956901,63.86574880286414,6.8944674
167062.jpg,AGCWD,16.64746989980634,19.340809251227537,106.21153598099532,4.5259957
167083.jpg,AGCWD,43.32224532224531,14.13000911533275,80.61943660763629,7.3261747
170057.jpg,AGCWD,50.86630267938679,13.08445232869235,59.44851796048058,7.022747
175032.jpg,AGCWD,53.694036955719184,12.437131951295006,68.92319809094677,7.2044897
189080.jpg,AGCWD,29.71311066638171,17.49498516054499,75.74690078098703,6.856245
219090.jpg,AGCWD,46.03414485657476,13.889271866277074,70.23922912552291,7.15602
220075.jpg,AGCWD,46.35750416124248,13.383120528315722,74.47591661100446,7.2355566
229036.jpg,AGCWD,38.50259389511726,15.28430099434847,67.34988882406387,7.175968
24077.jpg,AGCWD,31.51098762313717,16.328304368613693,81.05732734064505,7.094466
241004.jpg,AGCWD,32.11262232757559,16.098372349528887,75.53942571853618,6.666788
253027.jpg,AGCWD,47.28010828945408,13.447840747046593,57.53931477050045,6.845727
260058.jpg,AGCWD,36.25865117453904,16.312612965276394,45.24844196197588,6.7663183
271035.jpg,AGCWD,36.93799262958143,15.8889689330125,62.90024972770101,7.1585107
285079.jpg,AGCWD,44.927649432322326,13.56415336863277,66.38049098407336,6.7183723
291000.jpg,AGCWD,35.322323041949204,16.34560436612538,58.516408940852266,7.167434
295087.jpg,AGCWD,55.07652152511966,12.018648599649858,68.29385691823809,7.018052
296007.jpg,AGCWD,54.175529951230885,12.564624912382506,53.921178668909015,6.240794
300091.jpg,AGCWD,52.70344103988964,12.387825903479373,63.8102876197943,6.7587147
304034.jpg,AGCWD,49.4752365593487,13.089405479926024,71.32633413164734,7.26252
38092.jpg,AGCWD,31.196818673454203,17.358840778673734,71.06964785515423,7.2060776
41033.jpg,AGCWD,43.7099112052383,14.282036817498383,75.91768279440971,7.1037416
42049.jpg,AGCWD,34.326630008873025,16.905520803278662,64.74378482828955,6.300073
43074.jpg,AGCWD,61.32173366752805,10.8765132266561,67.96524967671526,6.760491
45096.jpg,AGCWD,44.61098049883097,12.633267045695623,69.10242625323669,5.5340805
54082.jpg,AGCWD,55.73601854910265,12.176403102624798,58.98232085477884,6.8394284
58060.jpg,AGCWD,44.05336105336106,13.027534897286476,83.52516477303536,6.483325
62096.jpg,AGCWD,19.629134526330773,20.112946154953413,86.16317394209337,6.0030365
69015.jpg,AGCWD,55.52957558565035,11.475614800069522,78.72418574868142,6.914346
69040.jpg,AGCWD,59.89603046612392,11.343564936294834,63.53619704562544,6.8501945
76053.jpg,AGCWD,48.430994617910514,13.37249186452966,61.54819663588077,7.0316973
78004.jpg,AGCWD,35.456778129675314,15.79496049742266,80.55811655760685,7.242652
8023.jpg,AGCWD,49.54993167142699,13.225954743947629,53.94091607923085,6.770953
86000.jpg,AGCWD,48.8426370295529,13.207309735605762,63.08781604687142,6.9343605
86016.jpg,AGCWD,35.312128807455906,16.549238123494895,55.65929276762424,7.074404
89072.jpg,AGCWD,42.42668765098672,14.5463998459113,71.6112546951302,7.154764
